historical spelling|Type|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|modernized_spellings
Dasdorf|Location||||Dasdorf|no_results|090_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|211|Dasdorf
Hofhalle|Location|https://de.wikipedia.org/wiki/Hofhalle_(Dresden)|||Hofhalle|no_results|090_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|221|Hofhalle
Kaiz Rod|Location||||Kaiserrode|no_results|090_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|225|Kaiz Rod
Neusserre|Location||||Neusserre|no_results|090_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|239|Neuss
Lonsdon|Location||||Lonsdon|no_results|090_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|239|London
Italienisches Dorf|Location||||Italienisches Dorf|no_results|091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|145|Bitte geben Sie den historischen Ortsnamen an, den ich modernisieren soll.
Altdresden|Location||||Altdresden|no_results|091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|145|Dresden
Altdresden|Location|https://de.wikipedia.org/wiki/Altdresden|||Altdresden|no_results|091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|148|Dresden
Palais des Grafen Marcolini|Location||||Palais des Grafen Marcolini|no_results|091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|149|Palais der Grafen Marcolini
Schalkischen Gemach|Location||||Schalkisches Gemach|no_results|091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|154|Schalkischen Gemach
Antiken‑Kabinet|Location||||Antiken Kabinett|no_results|091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|155|Antikenkabinet
Rükammever|Location||||Rükammever|no_results|091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|159|Rükammever
Uibigau|Location||||Uibigau|no_results|091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|166|Uibigau
Palais des Prinzen Marx|Location||||Palais des Prinzen Marx|no_results|091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|166|Palais des Prinzen Marx
Linkisches Bad|Location||||Linkisches Bad|no_results|091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|167|Linkisches Bad
Coschewitzer Grund|Location||||Cossewitz Grund|no_results|091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|169|Köschwitzgrund
Naumanns Weinberg|Location|https://de.wikipedia.org/wiki/Naumanns_Weinberg|||Naumann's Weinberg|no_results|091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|169|Naumanns Weinberg
Kurfürstliche Galerie|Location|https://de.wikipedia.org/wiki/Kurfürstliche_Galerie_(Dresden)|||Kurfürstliche Galerie|no_results|093_1795_Bemerkungen_auf_einer_Reise_von_Kopenhagen_nach_Wien_im_Jahr_1793|58|Kurfürstliche Galerie
Gärten der Prinzen|Location|https://de.wikipedia.org/wiki/G%C3%A4rten_der_Prinzen|||Gärten der Prinzen|no_results|093_1795_Bemerkungen_auf_einer_Reise_von_Kopenhagen_nach_Wien_im_Jahr_1793|65|Gärten der Prinzen
Preußischer Staat|Location||||Preußischer Staat|no_results|095_1796_Reisen_durch_Deutschland,_Frankreich,_England_und_Holland_in_verschiedener,_besonders_politischer_Hi|207|Deutschland
Rolandssäulen|Location||||Rolandssäulen|no_results|095_1796_Reisen_durch_Deutschland,_Frankreich,_England_und_Holland_in_verschiedener,_besonders_politischer_Hi|210|Rolandssaulen
Zehist|Location||||Zehist|no_results|097_1796_Wanderungen_durch_die_Niederlande,_Deutschland,_die_Schweiz_und_Italien_1793_und_1794|499|Zehist
Elbbücke|Location|https://de.wikipedia.org/wiki/Augustusbr%C3%BCcke_(Dresden)|||Elbbücke|no_results|098_1797_Reisen_und_merkwürdige_Nachrichten_zweier_Neufranken_durch_Deutschland,_Rußland,_Polen_und_die_Oeste|32|Elbbrücke
Hollandisches Palais|Location|https://de.wikipedia.org/wiki/Hollandisches_Palais|||Hollandisches Palais|no_results|098_1797_Reisen_und_merkwürdige_Nachrichten_zweier_Neufranken_durch_Deutschland,_Rußland,_Polen_und_die_Oeste|33|Hollandisches Palais
Brühlscher Palast|Location|https://de.wikipedia.org/wiki/Brühlscher_Palast|||Brühlscher Palast|no_results|098_1797_Reisen_und_merkwürdige_Nachrichten_zweier_Neufranken_durch_Deutschland,_Rußland,_Polen_und_die_Oeste|33|Brühl Palace
Linkisches Bad|Location||||Linkisches Bad|no_results|098_1797_Reisen_und_merkwürdige_Nachrichten_zweier_Neufranken_durch_Deutschland,_Rußland,_Polen_und_die_Oeste|33|Linkisches Bad
Churfürstlicher Garten|Location||||Kurfürstlicher Garten|no_results|098_1797_Reisen_und_merkwürdige_Nachrichten_zweier_Neufranken_durch_Deutschland,_Rußland,_Polen_und_die_Oeste|33|Kurfürstlicher Garten
Plauischer Grund|Location||||Plauischer Grund|no_results|098_1797_Reisen_und_merkwürdige_Nachrichten_zweier_Neufranken_durch_Deutschland,_Rußland,_Polen_und_die_Oeste|33|Plauischer Grund
Pretlin|Location||||Pretlin|no_results|098_1797_Reisen_und_merkwürdige_Nachrichten_zweier_Neufranken_durch_Deutschland,_Rußland,_Polen_und_die_Oeste|36|Pretlin
Pastellzimmer|Location||||Pastellzimmer|no_results|098_1797_Reisen_und_merkwürdige_Nachrichten_zweier_Neufranken_durch_Deutschland,_Rußland,_Polen_und_die_Oeste|38|Pastellzimmer
Galerie der Vögel|Location||||Galerie der Vögel|no_results|098_1797_Reisen_und_merkwürdige_Nachrichten_zweier_Neufranken_durch_Deutschland,_Rußland,_Polen_und_die_Oeste|41|Galerie der Vögel
Rastcammer|Location||||Rastkammer|no_results|098_1797_Reisen_und_merkwürdige_Nachrichten_zweier_Neufranken_durch_Deutschland,_Rußland,_Polen_und_die_Oeste|47|Rastcammer
Seimensdorf|Location|https://de.wikipedia.org/wiki/Seimensdorf|||Seimensdorf|no_results|099_1798_Erzählungen_von_einer_Reise_durch_einen_großen_Theil_Deutschlands_und_der_Schweiz,_im_Jahre_1796|54|Seimensdorf
Kührhaus|Location||||Kührhaus|no_results|099_1798_Erzählungen_von_einer_Reise_durch_einen_großen_Theil_Deutschlands_und_der_Schweiz,_im_Jahre_1796|54|Kührhaus
Herculanischen|Location||||Herculanischer Saal|no_results|099_1798_Erzählungen_von_einer_Reise_durch_einen_großen_Theil_Deutschlands_und_der_Schweiz,_im_Jahre_1796|59|Ercolano
Tödtens‑frille|Location||||Tödtens‑frille|no_results|099_1798_Erzählungen_von_einer_Reise_durch_einen_großen_Theil_Deutschlands_und_der_Schweiz,_im_Jahre_1796|62|Tödtens‑frille
Italienisches Dorf|Location||||Italienisches Dorf|no_results|099_1798_Erzählungen_von_einer_Reise_durch_einen_großen_Theil_Deutschlands_und_der_Schweiz,_im_Jahre_1796|65|Bitte geben Sie den historischen Ortsnamen an, den ich modernisieren soll.
Dresdner Nüßkammer|Location|https://de.wikipedia.org/wiki/Nusskammer_(Dresden)|||Dresdner Nusskammer|no_results|100_1798_Erzählungen_von_einer_Reise_durch_einen_großen_Theil_Deutschlands_und_der_Schweiz,_im_Jahre_1796|21|Dresdner Nusskammer
Galliae|Location||||Galliae|no_results|100_1798_Erzählungen_von_einer_Reise_durch_einen_großen_Theil_Deutschlands_und_der_Schweiz,_im_Jahre_1796|25|Frankreich
Meißnisch|Location|https://de.wikipedia.org/wiki/Mei%C3%9Fen|||Meißnisch|no_results|100_1798_Erzählungen_von_einer_Reise_durch_einen_großen_Theil_Deutschlands_und_der_Schweiz,_im_Jahre_1796|33|Meißnisch
Dustin Saal|Location||||Dustin Saal|no_results|100_1798_Erzählungen_von_einer_Reise_durch_einen_großen_Theil_Deutschlands_und_der_Schweiz,_im_Jahre_1796|37|Dustin Saal
Silberbergwerke Himmelsfürst|Location|https://de.wikipedia.org/wiki/Silberbergwerk_Himmelsfürst|||Silberbergwerke Himmelsfürst|no_results|100_1798_Erzählungen_von_einer_Reise_durch_einen_großen_Theil_Deutschlands_und_der_Schweiz,_im_Jahre_1796|38|Silberbergwerk Himmelsfürst
Dafeyn|Location||||Dafeyn|no_results|100_1798_Erzählungen_von_einer_Reise_durch_einen_großen_Theil_Deutschlands_und_der_Schweiz,_im_Jahre_1796|44|Dafeyn
Plauischer Grund|Location|https://de.wikipedia.org/wiki/Plauischer_Grund|||Plauischer Grund|no_results|101_1798_Meine_Reise_in_das_Sächsische_Erzgebirge_im_Monath_August_1798|00000036.tif.original|Plauischer Grund
Lehmannischem Bade|Location||||Lehmannsches Bad|no_results|105_1798_Reisen_nach_und_in_der_Oberlausitz|13|Lehmannsches Bad
Loschwizer Weinberge|Location|https://de.wikipedia.org/wiki/Loschwitz|||Loschwitzer Weinberge|no_results|105_1798_Reisen_nach_und_in_der_Oberlausitz|13|Loschwitzer Weinberge
Langebrükschen Haide|Location||||Langebrücker Haide|no_results|105_1798_Reisen_nach_und_in_der_Oberlausitz|14|Langebrükschen Haide
Vischoffswerd|Location||||Wischofswerda|no_results|105_1798_Reisen_nach_und_in_der_Oberlausitz|16|Wischow
Wierthshaus zum Weisen Hirish|Location||||Wertshaus zum Weißen Hirsch|no_results|106_1798_Gemälde_über_die_Ober-Lausitz._Gesammelt_auf_einer_kleinen_Fußreise|00000239.tif.original|Wirtshaus zum Weisen Hirsch
Ewartent|Location||||Ewartent|no_results|106_1798_Gemälde_über_die_Ober-Lausitz._Gesammelt_auf_einer_kleinen_Fußreise|00000239.tif.original|Ewartent
Bauzens' Poststraße|Location||||Bautzener Poststraße|no_results|107_1798_Gemälde_über_die_Ober-Lausitz._Gesammelt_auf_einer_kleinen_Fußreise|00000020.tif.original|Bauzens Poststraße
Loschwitzer Weinberge|Location|https://de.wikipedia.org/wiki/Loschwitz|||Loschwitzer Weinberge|no_results|107_1798_Gemälde_über_die_Ober-Lausitz._Gesammelt_auf_einer_kleinen_Fußreise|00000021.tif.original|Loschwitzer Weinberge
Lehmannische Bade|Location||||Lehmannsches Bad|no_results|107_1798_Gemälde_über_die_Ober-Lausitz._Gesammelt_auf_einer_kleinen_Fußreise|00000021.tif.original|Lehmanns Bad
Groß-Dobrzych|Location||||Groß-Dobrzych|no_results|108_1798_Fußreise_von_Dresden_nach_den_zwei_verfallenen_Bergschlössern,_die_Rathen,_und_die_dortige_Gegend|47|Groß-Dobrzych
Köpid|Location||||Köpid|no_results|108_1798_Fußreise_von_Dresden_nach_den_zwei_verfallenen_Bergschlössern,_die_Rathen,_und_die_dortige_Gegend|50|Köpid
Fulhausen|Location||||Fuldau|no_results|110_1798_Eine_kleine_Fußreise_von_Dresden_nach_Pirna._An_Herrn_J._Hermsdorf_in_Görlitz|7|Fulhausen
Marktfarren|Location||||Marktfarren|no_results|111_1799_Neue_Ansicht_von_Dresden._Für_Reisende_von_einem_Reisenden|00000011.tif.original|Marktfarren
Priesnitzer Schlage|Location||||Priesnitzschlag|no_results|111_1799_Neue_Ansicht_von_Dresden._Für_Reisende_von_einem_Reisenden|00000196.tif.original|Priesnitzer Schlage
Pillnitzer Schlage|Location||||Pillnitzer Schlag|no_results|111_1799_Neue_Ansicht_von_Dresden._Für_Reisende_von_einem_Reisenden|00000200.tif.original|Pillnitzer Schlag
Vorsberg|Location|https://de.wikipedia.org/wiki/Vorsberg|||Vorsberg|no_results|111_1799_Neue_Ansicht_von_Dresden._Für_Reisende_von_einem_Reisenden|00000200.tif.original|Vorsberg
Seidelschena|Location||||Seidelschena|no_results|111_1799_Neue_Ansicht_von_Dresden._Für_Reisende_von_einem_Reisenden|00000203.tif.original|Seidelschena
Lustschloß Sedlitz|Location||||Lustschloss Sedlitz|no_results|111_1799_Neue_Ansicht_von_Dresden._Für_Reisende_von_einem_Reisenden|00000204.tif.original|Lustschloss Sedlitz
Dörfchen Potscha pel|Location||||Dörfchen Potschappel|no_results|111_1799_Neue_Ansicht_von_Dresden._Für_Reisende_von_einem_Reisenden|00000215.tif.original|Dörfchen Potscha pel
Berge Tharands|Location||||Berge Tharandt|no_results|111_1799_Neue_Ansicht_von_Dresden._Für_Reisende_von_einem_Reisenden|00000215.tif.original|Berge Tharands
Eowitzons|Location||||Eowitzons|no_results|111_1799_Neue_Ansicht_von_Dresden._Für_Reisende_von_einem_Reisenden|00000216.tif.original|Eowitzons
Plauenschen Gasse|Location|https://de.wikipedia.org/wiki/Plauenscher_Stra%C3%9Fe|||Plauenscher Gasse|no_results|111_1799_Neue_Ansicht_von_Dresden._Für_Reisende_von_einem_Reisenden|00000218.tif.original|Plauensche Gasse
Farnesischen Palastie|Location|https://de.wikipedia.org/wiki/Farnesischer_Palast|||Farnesischen Palastie|no_results|112_1799_Briefe_eines_reisenden_Russen|202|Farnesischer Palast
Farnesische Gallerie|Location|https://de.wikipedia.org/wiki/Galleria_Farnese|||Farnesische Gallerie|no_results|112_1799_Briefe_eines_reisenden_Russen|205|Farnesische Galerie
Pokschoppel|Location||||Pokschoppel|no_results|113_1799_Meine_Reise_im_deutschen_Vaterlande,_aus_Thüringen_ins_Riesengebürge_zu_den_Elbquellen_und_durch_Böh|00000051.tif.original|Pokschoppel
Plauener Grund Vor|Location||||Plauener Grund|no_results|113_1799_Meine_Reise_im_deutschen_Vaterlande,_aus_Thüringen_ins_Riesengebürge_zu_den_Elbquellen_und_durch_Böh|00000051.tif.original|Plauener Grund Vor
Umernberg|Location||||Umernberg|no_results|113_1799_Meine_Reise_im_deutschen_Vaterlande,_aus_Thüringen_ins_Riesengebürge_zu_den_Elbquellen_und_durch_Böh|00000054.tif.original|Umernberg
Elbbannée|Location|https://de.wikipedia.org/wiki/Elbe|||Elbbahn|no_results|113_1799_Meine_Reise_im_deutschen_Vaterlande,_aus_Thüringen_ins_Riesengebürge_zu_den_Elbquellen_und_durch_Böh|00000056.tif.original|Elbbannée
Böhmische Gebirge|Location||||Böhmisches Gebirge|no_results|113_1799_Meine_Reise_im_deutschen_Vaterlande,_aus_Thüringen_ins_Riesengebürge_zu_den_Elbquellen_und_durch_Böh|00000058.tif.original|Böhmerwald
Porschberg|Location||||Porschberg|no_results|113_1799_Meine_Reise_im_deutschen_Vaterlande,_aus_Thüringen_ins_Riesengebürge_zu_den_Elbquellen_und_durch_Böh|00000060.tif.original|Porschberg
Churfürstlicher Garten|Location||||Kurfürstlicher Garten|no_results|113_1799_Meine_Reise_im_deutschen_Vaterlande,_aus_Thüringen_ins_Riesengebürge_zu_den_Elbquellen_und_durch_Böh|00000078.tif.original|Kurfürstlicher Garten
Elbbrücke (Dresden)|Location|https://de.wikipedia.org/wiki/Elbbr%C3%BCcke_(Dresden)|||Elbbrücke (Dresden)|no_results|114_1799_Meine_Reise_im_deutschen_Vaterlande,_aus_Thüringen_ins_Riesengebürge_zu_den_Elbquellen_und_durch_Böh|00000044.tif.original|Elbbrücke
Römisches Palais|Location||||Römisches Palais|no_results|114_1799_Meine_Reise_im_deutschen_Vaterlande,_aus_Thüringen_ins_Riesengebürge_zu_den_Elbquellen_und_durch_Böh|00000045.tif.original|Römisches Palais
Raths‑Einnahme‑Stube|Location||||Rathaus-Einnahmestube|no_results|115_1799_Meine_Reise_im_deutschen_Vaterlande,_aus_Thüringen_ins_Riesengebürge_zu_den_Elbquellen_und_durch_Böh|00000029.tif.original|Rathaus‑Einnahmestube
Sächsisches Mark|Location|https://de.wikipedia.org/wiki/S%C3%A4chsisches_Mark|||Sächsisches Mark|no_results|115_1799_Meine_Reise_im_deutschen_Vaterlande,_aus_Thüringen_ins_Riesengebürge_zu_den_Elbquellen_und_durch_Böh|00000032.tif.original|Sachsen
Domthurem|Location|https://de.wikipedia.org/wiki/Dresdner_Dom|||Domtür|no_results|115_1799_Meine_Reise_im_deutschen_Vaterlande,_aus_Thüringen_ins_Riesengebürge_zu_den_Elbquellen_und_durch_Böh|00000038.tif.original|Domthurem
Got thischen Tempel|Location||||Got thischen Tempel|no_results|115_1799_Meine_Reise_im_deutschen_Vaterlande,_aus_Thüringen_ins_Riesengebürge_zu_den_Elbquellen_und_durch_Böh|00000038.tif.original|Got thischen Tempel
Südlichen Europa|Location|https://de.wikipedia.org/wiki/Südeuropa|||Südlichen Europa|no_results|119_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000625.tif.original|Südlichen Europa
Porpyhr|Location||||Porpyhr|no_results|119_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000630.tif.original|Pörtschach
Kalk am Plauenschen Grunde|Location||||Kalk am Plauenschen Grund|no_results|119_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000630.tif.original|Kalk am Plauenschen Grund
Christallkiesel|Location||||Kristallkiesel|no_results|119_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000630.tif.original|Kristallkiesel
Zabelitz|Location|https://de.wikipedia.org/wiki/Zabelitz|||Zabelitz|no_results|119_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000630.tif.original|Zabłocie
Böhmischen Gebirge|Location||||Böhmisches Gebirge|no_results|119_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000634.tif.original|Böhmerwald
Japanischer Palaisgarten|Location|https://de.wikipedia.org/wiki/Japanischer_Garten_(Dresden)|||Japanischer Palaisgarten|no_results|119_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000634.tif.original|Japanischer Palaisgarten
Ostrawiese|Location||||Ostrauer Wiese|no_results|119_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000634.tif.original|Ostrawiese
Weixmühle|Location|https://de.wikipedia.org/wiki/Weixmühle|||Weixmühle|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000524.tif.original|Weixmühle
Altandach|Location||||Altandach|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000525.tif.original|Altandach
Elbfläche|Location|https://de.wikipedia.org/wiki/Elbe|||Elbfläche|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000526.tif.original|Elbfläche
Johannissaal|Location||||Johannissaal|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000526.tif.original|Johannissaal
Pastenstein|Location|https://de.wikipedia.org/wiki/Pastenstein|||Pastenstein|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000527.tif.original|Pastenstein
Böhmens Grenze|Location||||Böhmens Grenze|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000527.tif.original|Böhmens Grenze
Sonnenstein (Bergschloss Sonnenstein)|Location|https://de.wikipedia.org/wiki/Schloss_Sonnenstein|||Bergschloss Sonnenstein|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000528.tif.original|Sonnenstein
Hohenstein (Bergschloss Hohenstein)|Location|https://de.wikipedia.org/wiki/Burg_Hohenstein_(Sachsen)|||Bergschloss Hohenstein|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000528.tif.original|Hohenstein
Leinewand|Location||||Leinewand|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000549.tif.original|Leinewand
Maseyk|Location||||Maseyk|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000555.tif.original|Maseyk
Rasttag|Location||||Rasttag|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000572.tif.original|Rastatt
Uckerwitz|Location|https://de.wikipedia.org/wiki/Uckerwitz|||Uckerwitz|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000584.tif.original|Uckerwitz
Plauenschen Gasse|Location||||Plauenscher Gasse|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000597.tif.original|Plauensche Gasse
Pirnaer Vorstadt|Location|https://de.wikipedia.org/wiki/Pirnaer_Vorstadt|||Pirnaer Vorstadt|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000601.tif.original|Pirnaer Vorstadt
Reisewitzschen Garten|Location||||Reisewitzscher Garten|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000603.tif.original|Reisewitzscher Garten
Coselschen Garten|Location||||Cosel'scher Garten|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000603.tif.original|Coselschen Garten
Neustadt an der Dosse|Location|https://de.wikipedia.org/wiki/Neustadt_an_der_Dosse|||Neustadt an der Dosse|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000606.tif.original|Neustadt an der Dosse
Weitzeritz|Location|https://de.wikipedia.org/wiki/Weißeritz|||Weitzeritz|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000606.tif.original|Vítkovice
Freiberger Schlage|Location||||Freiberger Schlage|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000606.tif.original|Freiberger Schlage
Walmühle|Location||||Walmühle|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000607.tif.original|Walmühle
Tobacksmühle|Location||||Tobacksmühle|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000607.tif.original|Tabaksmühle
Preysnitzerstrasse|Location||||Preysnitzstraße|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000608.tif.original|Preysnitzerstraße
Pirnaer Vorstadt|Location|https://de.wikipedia.org/wiki/Pirnaer_Vorstadt|||Pirnaer Vorstadt|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000608.tif.original|Pirnaer Vorstadt
Oberschläm|Location||||Oberschläm|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000610.tif.original|Oberschläm
Sächsischen Gebirgen|Location||||Sächsisches Gebirge|no_results|120_1801_Schönheiten_der_Natur_und_Kunst_dargestellt_auf_einer_Reise_durch_einen_Theil_der_Sächsischen_Staate|00000613.tif.original|Sächsische Gebirge
Göttzleube|Location||||Göttzleube|no_results|202_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|102|Göttzleube
Wesenitzthal|Location||||Wesenitzthal|no_results|202_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|104|Wesenitz
Liebethaler Steinbrüche|Location|https://de.wikipedia.org/wiki/Liebethaler_Steinbr%C3%BCche|||Liebethaler Steinbrüche|no_results|202_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|104|Liebethaler Steinbrüche
Ottowalder Grund|Location||||Ottwalder Grund|no_results|202_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|104|Ottowaldgrund
Kiefericht|Location||||Kiefericht|no_results|202_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|104|Kiefericht
Kirnitzschthal|Location||||Kirnitzschthal|no_results|202_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|104|Kirnitzschtal
Kuhiall|Location||||Kuhiall|no_results|202_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|104|Kuhiall
Habichtgrund|Location||||Habichtgrund|no_results|202_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|104|Habichtgrund
Kloster Altzelle|Location||||Kloster Altzelle|no_results|203_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|101|Kloster Altzelle
Schloßgarten des Grafen von Brühl|Location||||Schlossgarten des Grafen von Brühl (Dresden)|no_results|203_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|101|Schlossgarten des Grafen von Brühl
Thal an der Röder|Location|https://de.wikipedia.org/wiki/Thal_(Sachsen)|||Thal an der Röder (Saxony)|no_results|203_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|101|Tal an der Röder
Liegau an der Röder|Location|https://de.wikipedia.org/wiki/Liegau_an_der_R%C3%B6der|||Liegau an der Röder (now Liegau‑Augustusbad)|no_results|203_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|101|Liegau an der Röder
Dorfe Priesnitz|Location|https://de.wikipedia.org/wiki/Priesnitz|||Priesnitz (Dresden)|no_results|203_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|101|Dorf Priesnitz
Götzleube|Location||||Götzleube|no_results|203_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|102|Götzleben
Böhmern|Location|https://de.wikipedia.org/wiki/B%C3%B6hmern|||Böhmern (Meißen)|no_results|203_1827_Reisen_nach_den_vorzüglichsten_Hauptstädten_von_Mittel-Europa._Eine_Schilderung_der_Länder_und_Städt|102|Böhmen
